id	State	Total
		
1	Alabama	123
2	Alaska	9
4	Arizona	124
5	Arkansas	71
6	California	468
8	Colorado	81
9	Connecticut	48
10	Delaware	9
11	District of Columbia	1
12	Florida	406
13	Georgia	166
15	Hawaii	21
16	Idaho	23
17	Illinois	175
18	Indiana	104
19	Iowa	57
20	Kansas	63
21	Kentucky	119
22	Louisiana	96
23	Maine	28
24	Maryland	74
25	Massachusetts	56
26	Michigan	155
27	Minnesota	38
28	Mississippi	77
29	Missouri	102
30	Montana	38
31	Nebraska	29
32	Nevada	33
33	New Hampshire	15
34	New Jersey	82
35	New Mexico	49
36	New York	181
37	North Carolina	196
38	North Dakota	20
39	Ohio	171
40	Oklahoma	97
41	Oregon	51
42	Pennsylvania	202
44	Rhode Island	9
45	South Carolina	141
46	South Dakota	18
47	Tennessee	124
48	Texas	533
49	Utah	34
50	Vermont	14
51	Virginia	103
53	Washington	55
54	West Virginia	43
55	Wisconsin	104
56	Wyoming	22
9999	TOTAL	5058