id,State,Total
,,
1,Alabama,102
2,Alaska,6
4,Arizona,94
5,Arkansas,63
6,California,469
8,Colorado,67
9,Connecticut,44
10,Delaware,22
11,District of Columbia,4
12,Florida,380
13,Georgia,155
15,Hawaii,16
16,Idaho,24
17,Illinois,164
18,Indiana,101
19,Iowa,34
20,Kansas,53
21,Kentucky,82
22,Louisiana,115
23,Maine,21
24,Maryland,63
25,Massachusetts,49
26,Michigan,134
27,Minnesota,42
28,Mississippi,91
29,Missouri,98
30,Montana,29
31,Nebraska,38
32,Nevada,38
33,New Hampshire,13
34,New Jersey,82
35,New Mexico,43
36,New York,163
37,North Carolina,178
38,North Dakota,12
39,Ohio,144
40,Oklahoma,73
41,Oregon,51
42,Pennsylvania,188
44,Rhode Island,7
45,South Carolina,115
46,South Dakota,17
47,Tennessee,135
48,Texas,540
49,Utah,20
50,Vermont,9
51,Virginia,105
53,Washington,61
54,West Virginia,40
55,Wisconsin,71
56,Wyoming,22
9999,TOTAL,4687