,Highest Blood Alcohol Concentration in Crash,,,,,,,,,
,BAC = 0.00,,BAC = .01--.07,,BAC = .08+,,BAC=.01+,,Total Killed,
State,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
,,,,,,,,,,
Alabama,717,69,42,4,279,27,321,31,1038,100
Alaska,46,55,7,8,30,36,37,44,84,100
Arizona,659,68,57,6,232,24,289,30,962,100
Arkansas,394,72,34,6,117,21,150,28,545,100
California,2368,65,188,5,1059,29,1247,34,3623,100
Colorado,409,67,34,6,161,27,195,32,608,100
Connecticut,169,58,22,8,100,34,123,42,293,100
Delaware,75,63,6,5,37,31,43,36,119,100
District of Columbia,13,49,4,13,10,38,14,51,27,100
Florida,2175,69,147,5,841,26,987,31,3174,100
Georgia,1117,72,65,4,368,24,433,28,1554,100
Hawaii,80,66,6,5,34,28,40,33,120,100
Idaho,162,64,13,5,77,30,89,35,253,100
Illinois,707,65,60,6,315,29,375,35,1082,100
Indiana,580,71,31,4,211,26,241,29,821,100
Iowa,275,68,20,5,106,26,126,31,404,100
Kansas,318,74,13,3,94,22,107,25,429,100
Kentucky,618,74,41,5,175,21,216,26,834,100
Louisiana,488,64,44,6,225,30,268,35,757,100
Maine,94,59,13,8,54,33,67,41,161,100
Maryland,349,69,26,5,130,26,156,31,505,100
Massachusetts,233,60,37,10,119,31,156,40,389,100
Michigan,766,72,58,5,236,22,294,28,1064,100
Minnesota,275,70,25,6,93,24,117,30,392,100
Mississippi,527,76,35,5,128,19,164,24,690,100
Missouri,642,68,58,6,244,26,301,32,945,100
Montana,95,50,10,5,85,45,95,50,190,100
Nebraska,134,61,20,9,62,29,82,38,218,100
Nevada,213,65,13,4,101,31,114,35,328,100
New Hampshire,86,63,8,6,40,30,49,36,136,100
New Jersey,423,70,40,7,137,23,177,29,601,100
New Mexico,252,63,30,7,118,29,148,37,402,100
New York,697,68,46,4,283,28,328,32,1025,100
North Carolina,972,67,120,8,354,24,474,33,1450,100
North Dakota,57,50,5,4,50,45,55,49,113,100
Ohio,739,65,67,6,324,29,391,35,1132,100
Oklahoma,482,71,21,3,180,26,200,29,683,100
Oregon,323,65,18,4,154,31,172,35,495,100
Pennsylvania,815,69,42,4,327,28,369,31,1188,100
Rhode Island,29,56,4,7,19,37,22,44,51,100
South Carolina,617,61,65,6,331,33,396,39,1015,100
South Dakota,62,53,8,7,46,39,54,47,116,100
Tennessee,760,73,57,5,223,21,280,27,1041,100
Texas,2100,56,233,6,1438,38,1670,44,3776,100
Utah,223,79,6,2,52,19,59,21,281,100
Vermont,31,50,4,7,27,43,31,50,62,100
Virginia,508,67,31,4,220,29,251,33,760,100
Washington,351,65,25,5,161,30,186,35,537,100
West Virginia,189,70,12,5,68,25,80,30,269,100
Wisconsin,365,60,48,8,193,32,241,40,607,100
Wyoming,77,69,3,2,32,29,35,31,112,100
USA,24851,66,2017,5,10497,28,12514,33,37461,100